SLAService#start;Discoverer#start;MonitorDashboard#start;MonitorManager#start;Deployer#start;Dashboard#stop;Planner#stop;DataCollector#stop;SLAService#stop;SLAService#re-start;DataCollector#re-start;Planner#re-start;Dashboard#re-start;Discoverer#release;MonitorDashboard#release;MonitorManager#release;SLAService#release;Deployer#release
77.403;336.551;265.9;302.566;302.747;338.644;341.04;338.713;342.024;358.335;355.992;424.676;439.437;474.381;497.112;486.57;497.773;476.25
73.977;358.093;281.497;310.254;306.566;360.305;362.637;360.401;363.555;384.461;377.761;448.7;463.959;495.961;519.033;499.537;517.116;498.11
73.158;341.358;281.945;331.732;353.296;355.457;358.052;355.498;359.056;372.846;373.284;443.278;458.812;493.181;535.514;493.529;535.606;495.019
72.21;394.212;289.013;334.656;331.469;396.386;398.674;396.468;399.643;415.479;413.333;485.947;501.703;536.321;574.457;538.334;574.552;537.214
76.088;360.125;291.876;333.981;328.547;362.38;364.815;362.286;365.705;381.611;381.158;454.445;471.622;504.978;535.324;506.0;535.14;507.651
79.03;361.913;291.929;324.956;330.422;364.17;366.703;366.089;367.668;389.412;381.261;456.033;471.193;502.933;535.301;504.653;534.643;505.428
72.523;389.136;299.321;331.179;333.815;391.356;393.824;391.326;394.745;410.581;408.607;474.06;489.134;519.395;558.099;522.848;558.075;524.657
80.651;431.435;363.44;405.956;405.137;433.636;436.076;433.703;437.054;452.813;450.582;519.382;534.606;570.144;599.696;568.207;599.442;569.892
72.763;376.151;301.088;329.735;335.53;378.403;380.824;378.252;381.726;404.527;396.441;390.91;472.266;505.98;533.037;507.555;533.637;527.068
64.447;377.9;291.824;325.226;326.66;380.159;382.638;380.146;383.532;405.292;397.314;472.631;487.697;521.306;561.84;523.178;562.842;523.12
65.747;372.857;302.321;330.668;330.903;375.03;377.352;375.186;378.267;390.219;393.209;463.501;479.877;514.958;542.664;515.135;542.927;514.881
72.806;394.85;298.906;331.385;338.999;397.079;399.557;397.091;401.46;417.288;415.439;483.804;499.142;532.467;559.678;535.983;559.536;532.259
71.968;372.778;303.741;335.345;342.788;375.78;378.177;374.932;383.12;396.171;397.408;469.491;485.624;517.717;554.816;519.112;554.122;521.111
65.479;373.013;319.533;337.49;339.545;375.148;377.502;375.13;378.427;392.254;392.065;465.541;480.56;511.992;554.648;516.052;554.429;516.092
67.211;353.462;290.149;320.141;325.565;355.626;358.114;355.633;359.072;374.86;372.989;451.808;466.673;501.167;538.749;495.836;538.826;503.217
102.019;358.899;289.771;329.076;325.15;361.015;363.427;360.982;364.379;380.245;377.689;446.843;461.808;495.281;533.104;496.264;533.975;497.884
70.817;374.149;293.303;321.752;325.48;376.288;378.733;376.355;379.62;395.876;393.281;474.562;489.472;524.345;562.415;525.433;562.403;524.75
69.191;365.065;295.524;330.613;329.571;367.198;369.58;367.363;370.486;384.306;385.358;453.634;469.873;503.578;532.394;505.098;532.467;507.209
80.207;367.485;301.801;332.281;327.248;369.64;371.941;369.712;372.881;388.734;386.461;458.021;473.072;508.764;535.592;508.552;535.977;510.374
80.055;368.052;293.062;325.548;331.498;370.144;372.53;370.385;373.484;392.293;388.657;459.761;475.494;508.903;546.645;508.182;543.869;508.669
77.962;363.692;300.294;325.24;334.066;365.863;368.367;365.867;369.366;391.483;383.171;458.057;473.195;509.159;553.59;509.255;553.73;506.968
84.628;373.245;304.796;335.594;341.825;375.483;377.972;375.401;379.67;395.389;393.367;388.506;458.302;499.534;530.111;501.095;530.106;502.983
64.449;381.188;323.404;351.346;352.575;383.408;385.837;383.487;386.756;409.543;401.527;480.195;495.389;522.186;569.04;529.322;569.771;524.421
83.359;377.217;320.18;337.33;337.471;379.482;381.963;379.397;383.674;396.646;398.461;392.625;473.911;516.459;556.554;518.47;558.061;520.152
85.757;411.973;322.151;372.376;360.579;414.197;416.636;414.079;417.569;432.434;431.542;508.8;524.737;560.343;586.282;561.419;586.252;562.091
